"","Accidentes ofidicos","Dosis necesarias suero polivalente","Precio total (Polivalente, COP)","Dosis necesarias suero Micrurus","Precio total (Micrurus, COP)","Precio total (COP)"
"1","25","59","7493000","3","381000","7874000"
"2","23","55","6985000","3","381000","7366000"
"3","22","52","6604000","3","381000","6985000"
"4","23","55","6985000","3","381000","7366000"
"5","25","59","7493000","3","381000","7874000"
"6","24","57","7239000","3","381000","7620000"
"7","23","55","6985000","3","381000","7366000"
"8","23","55","6985000","3","381000","7366000"
"9","23","55","6985000","3","381000","7366000"
"10","23","55","6985000","3","381000","7366000"
"11","24","57","7239000","3","381000","7620000"
"12","25","59","7493000","3","381000","7874000"
"13","","","","","",""
"14","CASANARE","2013","Confianza: 0.9","CASANARE","2013","Confianza: 0.9"
